"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"Gâteau au fromage blanc",,,"kgCO2e/kg de poids net",1.99,,,,,"France continentale","2023-03-16","2024-05-17",,2.7,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Gâteau au yaourt",,,"kgCO2e/kg de poids net",1.7,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Gâteau au yaourt",,,"kgCO2e/kg de poids net",1.99,,,,,"France continentale","2023-03-16","2024-05-17",,2.3,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Gâteau aux amandes type financier",,,"kgCO2e/kg de poids net",6.11,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Gâteau aux amandes type financier",,,"kgCO2e/kg de poids net",3.79,,,,,"France continentale","2023-03-16","2024-05-17",,2.6,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Gâteau basque",,,"kgCO2e/kg de poids net",3.23,,,,,"France continentale","2021-03-04","2024-05-17",,,"Gâteau basque (nature/cerises)"
"Gâteau basque","cerises",,"kgCO2e/kg de poids net",2.28,,,,,"France continentale","2023-03-16","2024-05-17",,2.5,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Gâteau basque","crème pâtissière",,"kgCO2e/kg de poids net",2.28,,,,,"France continentale","2023-03-16","2024-05-17",,2.1,"Livraison : Ambiant (long) - Matériau d'emballage : PS - Préparation : Pas de préparation"
"Gâteau de riz","appertisé",,"kgCO2e/kg de poids net",1.71,,,,,"France continentale","2021-03-04","2024-05-17",,,
"Gâteau de riz","appertisé",,"kgCO2e/kg de poids net",1.6,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation"
"Gâteau de riz au caramel","rayon frais",,"kgCO2e/kg de poids net",1.68,,,,,"France continentale","2021-03-04","2024-05-17",,,
